ImageID,LabelName1,LabelName2,Height,Width,XMin1,XMax1,YMin1,YMax1,XMin2,XMax2,YMin2,YMax2,ReferringExpression
2359675,woman,shirt,375,500,310,499,0,214,326,476,64,205,woman in black shirt as the pizza in her mouth
2359960,ref,player,336,500,331,401,0,149,53,294,32,320,"a baseball team,player,fans and ref is in the picture"
2360027,girl,boy,375,500,213,410,21,324,38,151,0,225,a girl and boy is standing in this photo
2360052,phone,woman,333,500,176,220,78,225,171,499,15,332,woman holding phone as blonde hair
2360121,person,vest,375,500,365,472,80,275,386,438,105,194,person on orange vest is leading the cow
2360637,woman,Man,358,500,54,177,74,306,410,455,126,241,man and woman is there
2360819,woman,suit,452,500,372,430,197,372,390,428,231,305,the woman in an orange bathing suit is taking a picture
2360828,man,woman,500,408,47,119,242,499,130,210,256,456,man and woman are the people in foreground
2360971,Dyson,Grant,500,333,147,184,92,125,157,190,110,142,dyson and grant are the players
2361093,guy,jacket,500,383,134,230,228,381,146,226,246,318,a guy in a red jacket is on the snowboard
2361142,person,shirt,375,500,222,257,178,221,224,246,189,220,the person with the black shirt is driving the boat
2361424,woman,scissors,500,333,33,163,71,491,121,158,87,136,the woman with scissors as flowers on their shirt
2361798,Child,bear,500,494,105,303,183,442,255,390,211,407,child and bear is smiling
2361823,man,glasses,375,500,53,235,36,327,67,199,120,154,man with glasses is on the cover of the book
2361926,man,red hat,333,500,82,155,88,331,124,155,87,120,a man with a red hat is starring at the camer
2362299,man,hoodie,334,500,230,299,75,216,233,298,98,193,the man in the brown hoodie as sunglasses on his head
2362439,man,vest,500,375,235,323,228,398,238,292,260,314,the man in the blue shirt and black vest is on the couch
2363319,bride,groom,500,500,294,433,131,446,252,343,135,437,a bride and groom is in the picture
2363486,person,shorts,333,500,259,473,106,317,308,421,129,217,the person with shorts on as the leash in their hand
2363671,woman,dress,375,500,172,247,86,328,182,241,116,238,the woman in the dress is facing the camera
2363964,man,skateboard,500,359,49,284,73,460,41,190,402,464,the man on the skateboard is the main focus of the photo
2364013,catcher,umpire,333,500,153,267,176,257,46,163,145,254,a catcher and umpire are the people behind the baseball player
2364270,boy,man,500,334,148,251,328,465,141,189,248,326,a boy and a man is in the picture
2364300,man,shirt,332,500,303,448,69,331,306,446,116,231,gray haired man with white shirt is speaking
2364372,horse,dog,333,500,101,305,166,284,341,409,251,288,a horse and dog else is with him
2364575,woman,glasses,375,500,0,177,58,373,48,89,123,141,the woman with glasses on is wearing a brown cardigan
2365142,woman,backpack,333,500,222,270,190,332,198,256,211,306,a woman with a backpack is standing closest to the photographer
2365943,woman,hair,333,500,211,296,63,333,223,257,64,92,the woman with grey hair is wearing a watch
2366352,man,woman,235,500,263,320,72,191,273,367,59,187,a man and woman is sitting on the motorcycle
2366724,man,jacket,500,375,140,169,276,314,143,168,284,304,man in blue and cream jacket is squatting down
2366746,child,man,333,500,216,232,202,232,227,262,200,230,a man and a child are in the photo
2367040,man,water,313,500,61,275,23,287,0,500,182,313,the man in the water is holding the frisbee
2367335,man,hat,500,334,133,297,170,328,166,201,169,199,the man in the orange hat is on the skateboard
2367740,woman,man,375,500,213,329,298,374,334,496,164,373,"a man, woman and child is in the picture"
2367857,child,woman,234,500,222,259,62,79,197,277,44,131,woman and child is seen in the middle of photo
2368132,man,shirt,500,500,237,300,129,268,239,301,159,248,man in striped shirt is not facing the camera
2368442,player,tennis,500,384,122,241,101,249,240,251,351,358,the tennis player is holding the tennis racket
1159396,man,woman,768,1024,533,680,317,638,274,481,339,766,a man and woman is this a picture of
285612,person,jeans,638,960,0,211,0,635,0,133,328,635,person wearing blue coat and jeans is the photographer
1159433,bus,man,768,1024,443,737,211,543,628,699,422,580,the man walking toward the bus is wearing an orange jacket
1159443,man,hands,683,1024,756,806,175,297,777,795,251,269,a man is standing with his hands in his hips is there in the background
1159458,girl,pillow,768,1024,380,844,197,692,345,500,373,486,one girl is laying on the pillow is laying on the striped pillow
2369662,man,woman,353,500,22,100,100,210,109,173,117,237,a man and a woman is in the photo
